Floor|Location|bedroom|bathroom|parking|status|date|price|Deposit|ResidentTenantID|Deposit_Status|Payment_Status
1|1|2|2|1|rent|1.6.2023|450|200|RS0001|1|1
1|2|3|2|1|for rent|-|550|250|-|0|0
1|3|4|2|2|for rent|-|750|300|-|0|0
1|4|5|3|2|for rent|-|950|350|-|0|0
2|1|2|2|1|for rent|-|450|200|-|0|0
2|2|3|2|1|for rent|-|550|111|-|0|0
2|3|4|2|2|for rent|-|750|300|-|0|0
2|4|5|3|2|for rent|-|950|350|-|0|0
3|1|2|2|1|for rent|-|450|200|-|0|0
3|2|3|2|1|for rent|-|550|250|-|0|0
3|3|4|2|2|for rent|-|750|300|-|0|0
3|4|5|3|2|for rent|-|950|350|-|0|0
4|1|2|2|1|for rent|-|450|200|-|0|0
4|2|3|2|1|for rent|-|550|250|-|0|0
4|3|4|2|2|for rent|-|750|300|-|0|0
4|4|5|3|2|for rent|-|950|350|-|0|0
5|1|2|2|1|for rent|-|450|200|-|0|0
5|2|3|2|1|for rent|-|550|250|-|0|0
5|3|4|2|2|for rent|-|750|300|-|0|0
5|4|5|3|2|for rent|-|950|350|-|0|0
6|1|2|2|1|for rent|-|450|200|-|0|0
6|2|3|2|1|for rent|-|550|250|-|0|0
6|3|4|2|2|for rent|-|750|300|-|0|0
6|4|5|3|2|for rent|-|950|350|-|0|0
7|1|2|2|1|for rent|-|450|200|-|0|0
7|2|3|2|1|for rent|-|550|250|-|0|0
7|3|4|2|2|for rent|-|750|300|-|0|0
7|4|5|3|2|for rent|-|950|350|-|0|0
8|1|2|2|1|for rent|-|450|200|-|0|0
8|2|3|2|1|for rent|-|550|250|-|0|0
8|3|4|2|2|for rent|-|750|300|-|0|0
8|4|5|3|2|for rent|-|950|350|-|0|0
9|1|2|2|1|for rent|-|450|200|-|0|0
9|2|3|2|1|for rent|-|550|250|-|0|0
9|3|4|2|2|for rent|-|750|300|-|0|0
9|4|5|3|2|for rent|-|950|350|-|0|0
10|1|2|2|1|for rent|-|450|200|-|0|0
10|2|3|2|1|for rent|-|550|250|-|0|0
10|3|4|2|2|for rent|-|750|300|-|0|0
10|4|5|3|2|for rent|-|950|350|-|0|0
11|1|2|2|1|for rent|-|450|200|-|0|0
11|2|3|2|1|for rent|-|550|250|-|0|0
11|3|4|2|2|for rent|-|750|300|-|0|0
11|4|5|3|2|for rent|-|950|350|-|0|0
12|1|2|2|1|for rent|-|450|200|-|0|0
12|2|3|2|1|for rent|-|550|250|-|0|0
12|3|4|2|2|for rent|-|750|300|-|0|0
12|4|5|3|2|for rent|-|950|350|-|0|0
13|1|2|2|1|for rent|-|450|200|-|0|0
13|2|3|2|1|for rent|-|550|250|-|0|0
13|3|4|2|2|for rent|-|750|300|-|0|0
13|4|5|3|2|for rent|-|950|350|-|0|0
14|1|2|2|1|for rent|-|450|200|-|0|0
14|2|3|2|1|for rent|-|550|250|-|0|0
14|3|4|2|2|for rent|-|750|300|-|0|0
14|4|5|3|2|for rent|-|950|350|-|0|0
15|1|2|2|1|for rent|-|450|200|-|0|0
15|2|3|2|1|for rent|-|550|250|-|0|0
15|3|4|2|2|for rent|-|750|300|-|0|0
15|4|5|3|2|for rent|-|950|350|-|0|0
16|1|2|2|1|for rent|-|450|200|-|0|0
16|2|3|2|1|for rent|-|550|250|-|0|0
16|3|4|2|2|for rent|-|750|300|-|0|0
16|4|5|3|2|for rent|-|950|350|-|0|0
17|1|2|2|1|for rent|-|450|200|-|0|0
17|2|3|2|1|for rent|-|550|250|-|0|0
17|3|4|2|2|for rent|-|750|300|-|0|0
17|4|5|3|2|for rent|-|950|350|-|0|0
18|1|2|2|1|for rent|-|450|200|-|0|0
18|2|3|2|1|for rent|-|550|250|-|0|0
18|3|4|2|2|for rent|-|750|300|-|0|0
18|4|5|3|2|for rent|-|950|350|-|0|0
19|1|2|2|1|for rent|-|450|200|-|0|0
19|2|3|2|1|for rent|-|550|250|-|0|0
19|3|4|2|2|for rent|-|750|300|-|0|0
19|4|5|3|2|for rent|-|950|350|-|0|0
20|1|2|2|1|for rent|-|450|200|-|0|0
20|2|3|2|1|for rent|-|550|250|-|0|0
20|3|4|2|2|for rent|-|750|300|-|0|0
20|4|5|3|2|for rent|-|950|350|-|0|0
